01/10/2020,2.10,Food and Beverages,Good news cafe,,,,,,
5/12/2021,7.95,Stationary/office stuff,"Cling wrap, air thing",,,,,,
5/12/2021,2.50,Others,Broom,,,,,,
9/12/2021,22.50,Transport,Gojek from NTFGH to pasir laba,,,,,,
9/12/2021,7.40,Food and Beverages,Heavanly wang congee set,,,,,,
9/12/2021,2.10,Food and Beverages,Milo,,,,,,
11/12/2021,20.00,Transport,Top up ez link,,,,,,
11/12/2021,5.60,Food and Beverages,Ya kun set a,,,,,,
13/12/2021,0.90,Food and Beverages,Drink,,,,,,
13/12/2021,3.19,Stationary/office stuff,Notebook and pen,,,,,,
16/12/2021,25.70,Transport,Home to plc,,,,,,
16/12/2021,10.40,Food and Beverages,Mac and cheese with drink,,,,,,
18/12/2021,5.70,Food and Beverages,Set 2 fun toast,,,,,,
18/12/2021,10.18,Entertainment,spotify,,,,,,
21/12/2021,100,Investment,Stashaway,,,,,,
23/12/2021,4.90,Food and Beverages,,,,,,,
25/12/2021,5.50,Food and Beverages,Fun toast set 1,,,,,,
29/12/2021,10.00,Others,Condolence money,,,,,,
2/1/2022,9.00,Others,Haircut,,,,,,
3/1/2022,2.00,Health,Sanitizer,,,,,,
3/1/2022,32.85,Food and Beverages,Snacks,,,,,,
3/1/2022,12.90,Food and Beverages,Ramen,,,,,,
6/1/2022,5.40,Food and Beverages,Coconut shake,,,,,,
8/1/2022,20.00,Transport,Top up ez link,,,,,,
8/1/2022,5.00,Food and Beverages,Fun toast set,,,,,,
9/1/2022,6.50,Food and Beverages,Snacks,,,,,,
11/1/2022,16.50,Food and Beverages,Mcdonald,,,,,,
11/1/2022,4.50,Transport,Grab,,,,,,
16/1/2022,10.00,Others,Hair cut,,,,,,
18/1/2022,100,Investment,Stashaway,,,,,,
18/1/2022,10.18,Entertainment,Spotify,,,,,,
23/1/2022,20.00,Transport,Top up ez link,,,,,,
26/1/2022,15.30,Food and Beverages,Shakeshake,,,,,,
26/1/2022,6.50,Food and Beverages,Snacks,,,,,,
28/1/2022,5.40,Food and Beverages,Coconut milk,,,,,,
30/1/2022,10.00,Others,Hair cut,,,,,,
4/2/2022,4.90,Food and Beverages,Bubble tea,,,,,,
6/2/2022,20.00,Transport,Top up ez link card,,,,,,
9/2/2022,15.50,Food and Beverages,Mcdonalds,,,,,,
10/2/2022,2.50,Food and Beverages,Oreo,,,,,,
11/2/2022,5.40,Food and Beverages,Coconjt milk,,,,,,
13/2/2022,9.00,Others,Haircut,,,,,,
13/2/2022,8.25,Food and Beverages,Bread and peanut butter,,,,,,
18/2/2022,10.18,Entertainment,Spotify,,,,,,
20/2/2022,2.50,Food and Beverages,Oreo,,,,,,
22/2/2022,17.00,Food and Beverages,Pasta express and liho,,,,,,
25/2/2022,23.45,Others,Emart stuff,,,,,,
26/2/2022,6.30,Food and Beverages,Fun toast set,,,,,,
27/2/2022,10.00,Others,Nus application,,,,,,
2/3/2022,12.00,Food and Beverages,,,,,,,
4/3/2022,6.20,Food and Beverages,Coconut milk pandan,,,,,,
5/3/2022,68.29,Stationary/office stuff,Popular book company????,,,,,,
5/3/2022,35.00,Others,Eprep course,,,,,,
5/3/2022,28.94,Stationary/office stuff,Popular,,,,,,
5/3/2022,34.00,Stationary/office stuff,Laminator,,,,,,
5/3/2022,29.00,Health,Electric shaver,,,,,,
6/3/2022,9.00,Others,Hair cut,,,,,,
6/3/2022,4.13,Health,Thermometer,,,,,,
8/3/2022,27.99,Others,Google one,,,,,,
9/3/2022,0.60,Food and Beverages,drink,,,,,,
11/3/2022,0.60,Food and Beverages,drink,,,,,,
11/3/2022,3.00,Food and Beverages,Ice cream,,,,,,
11/3/2022,7.50,Transport,Taxi to bedok,,,,,,
11/3/2022,12.51,Stationary/office stuff,Usb cable,,,,,,
13/3/2022,3.77,Gifts,OC WP gift,,,,,,
16/3/2022,25.30,Food and Beverages,Buffet,,,,,,
16/3/2022,5.20,Transport,Grab to pasir laba,,,,,,
17/3/2022,100.00,Investment,Stashaway,,,,,,
18/3/2022,6.30,Food and Beverages,Coconut milk,,,,,,
18/3/2022,7.11,Transport,Grab from PLC to bedok,,,,,,
19/3/2022,20.00,Transport,Ez link card,,,,,,
19/3/2022,6.30,Food and Beverages,Fun toast,,,,,,
20/3/2022,10.18,Entertainment,Spotify,,,,,,
20/3/2022,11.95,Food and Beverages,Fruit energy bar,,,,,,
20/3/2022,0.90,Food and Beverages,drinks,,,,,,
22/3/2022,0.90,Food and Beverages,drinks,,,,,,
23/3/2022,19.00,Food and Beverages,Pastamania,,,,,,
25/3/2022,7.90,Food and Beverages,Burger and sugar cane juice,,,,,,
25/3/2022,5.50,Others,Saf zip lock,,,,,,
25/3/2022,0.90,Food and Beverages,drinks,,,,,,
25/3/2022,35.80,Others,Clothes,,,,,,
25/3/2022,274.49,Others,3 days 2 night hotel,,,,,,
26/3/2022,2.10,Others,ART kit,,,,,,
26/3/2022,13.40,Food and Beverages,Wolf burger,,,,,,
26/3/2022,9.00,Others,Haircut,,,,,,
26/3/2022,5.00,Stationary/office stuff,Multi color pen,,,,,,
26/3/2022,8.20,Food and Beverages,Stuff d bowl,,,,,,
27/3/2022,186.55,Education,CDC registration,,,,,,
27/3/2022,8.00,Food and Beverages,Chicken kebab and green bean soup,,,,,,
27/3/2022,20.00,Transport,Ez link,,,,,,
27/3/2022,7.90,Food and Beverages,Greendot noodles,,,,,,
27/3/2022,4.70,Health,Mouth wash,,,,,,
30/3/2022,25.60,Food and Beverages,Fish and chip,,,,,,
30/3/2022,5.90,Food and Beverages,Yole,,,,,,
1/4/2022,5.40,Food and Beverages,Coconut milk,,,,,,
2/4/2022,2.30,Food and Beverages,Soya bean Ice cream,,,,,,
3/4/2022,7.00,Food and Beverages,Granola bar,,,,,,
6/4/2022,12.80,Food and Beverages,Fish and chips and milo,,,,,,
7/4/2022,5.50,Food and Beverages,FBO,,,,,,
8/4/2022,7.50,Transport,Grab to tampines,,,,,,
8/4/2022,5.35,Food and Beverages,Mcdonald,,,,,,
8/4/2022,5.40,Food and Beverages,Coconut milk,,,,,,
9/4/2022,6.10,Food and Beverages,Fun toast set,,,,,,
10/4/2022,1.10,Others,Newspaper,,,,,,
12/4/2022,17.00,Stationary/office stuff,Usb to hdmi,,,,,,
14/4/2022,30.60,Food and Beverages,Ramen and drink,,,,,,
14/4/2022,11.00,Entertainment,Movie,,,,,,
19/4/2022,13.51,Others,Adobe,,,,,,
20/4/2022,10.18,Entertainment,Spotify,,,,,,
20/4/2022,21.40,Food and Beverages,Ikea food,,,,,,
24/4/2022,12.25,Food and Beverages,Energy bar,,,,,,
27/4/2022,2.00,Food and Beverages,Water,,,,,,
27/4/2022,2.60,Food and Beverages,Milk,,,,,,
1/5/2022,30.60,Food and Beverages,Bar,,,,,,
2/5/2022,5.80,Food and Beverages,Fun toast set,,,,,,
5/5/2022,9.00,Entertainment,Movie,,,,,,
7/5/2022,6.80,Food and Beverages,Fun toast set,,,,,,
8/5/2022,9.00,Others,Hair cut,,,,,,
18/5/2022,3.30,Food and Beverages,Mango and passionfruit,,,,,,
18/5/2022,5.50,Food and Beverages,FBO,,,,,,
18/5/2022,13.51,Others,Adobe,,,,,,
20/5/2022,10.18,Entertainment,Spotify,,,,,,
22/5/2022,4.00,Others,Saf sewing,,,,,,
29/5/2022,9.00,Others,haircut,,,,,,
1/6/2022,7.50,Food and Beverages,Fish and chips,,,,,,
1/6/2022,1.70,Food and Beverages,Lime juice,,,,,,
2/6/2022,5.50,Food and Beverages,FBO,,,,,,
5/6/2022,1.10,Food and Beverages,Bread,,,,,,
10/6/2022,13.00,Transport,Grab,,,,,,
10/6/2022,5.40,Food and Beverages,Coconut milk,,,,,,
11/6/2022,20.00,Transport,Top up ez link,,,,,,
12/6/2022,15.00,Health,Mask,,,,,,
15/6/2022,11.45,Food and Beverages,Jolibee,,,,,,
15/6/2022,5.40,Food and Beverages,Mr coconut,,,,,,
17/6/2022,7.80,Food and Beverages,Mcdonald,,,,,,
17/6/2022,1.60,Food and Beverages,Milo,,,,,,
18/6/2022,6.30,Food and Beverages,Fun toast,,,,,,
18/6/2022,12.10,Transport,Grab to cdc,,,,,,
18/6/2022,500,Education,CDC top up,,,,,,
18/6/2022,13.51,Others,Adobe,,,,,,
21/6/2022,10.18,Entertainment,Spotify,,,,,,
22/6/2022,5.00,Food and Beverages,Ice cream milk tea,,,,,,
22/6/2022,12.00,Others,Hair cut,,,,,,
22/6/2022,13.00,Food and Beverages,Wingstop,,,,,,
22/6/2022,200,Investment,syfe apple,,,,,,
30/6/2022,9.10,Food and Beverages,Kuo tiao,,,,,,
2/7/2022,6.30,Food and Beverages,Fun toast,,,,,,
4/7/2022,9.00,Others,Hair cut,,,,,,
6/7/2022,52.50,Food and Beverages,Jack place,,,,,,
8/7/2022,6.15,Food and Beverages,Fillet o fish with milo,,,,,,
8/7/2022,7.90,Others,Saf stuff,,,,,,
11/7/2022,3.30,Food and Beverages,Bread,,,,,,
11/7/2022,1000,Education,CDC top up,,,,,,
12/7/2022,200,Investment,syfe google and snap,,,,,,
13/7/2022,3.30,Food and Beverages,Tang yuan,,,,,,
14/7/2022,5.50,Food and Beverages,FBO,,,,,,
15/7/2022,8.00,Food and Beverages,Kuay tiao,,,,,,
15/7/2022,10.15,Food and Beverages,Mcdonald butterchicken meal,,,,,,
16/7/2022,20.00,Transport,Top up e zlink,,,,,,
17/7/2022,3.30,Food and Beverages,Bread,,,,,,
19/7/2022,13.51,Others,Adobe,,,,,,
19/7/2022,5.00,Food and Beverages,Fbo,,,,,,
19/7/2022,1.80,Food and Beverages,Milo,,,,,,
20/7/2022,11.20,Food and Beverages,Pasta express,,,,,,
20/7/2022,0.90,Food and Beverages,Milo,,,,,,
20/7/2022,0.90,Food and Beverages,Milo,,,,,,
21/7/2022,6.00,Food and Beverages,Coconut shake and ice cream,,,,,,
21/7/2022,10.18,Entertainment,Spotify,,,,,,
22/7/2022,15.70,Others,Saf pack,,,,,,
24/7/2022,9.00,Others,Hair cut,,,,,,
25/7/2022,6.2,Food and Beverages,Milo and noodles,,,,,,
25/7/2022,2.3,Food and Beverages,Oreo crush,,,,,,
26/7/2022,5.5,Food and Beverages,Chicken cutlet fried rice and lime juice,,,,,,
27/7/2022,5.8,Food and Beverages,Mee rebus and water melon juice,,,,,,
28/7/2022,2.3,Food and Beverages,Oreo crunch,,,,,,
28/7/2022,2.3,Food and Beverages,Oreo crush,,,,,,
28/7/2022,13.3,Transport,Gojek from MHC to home,,,,,,
29/7/2022,5,Others,Fair price voucher,,,,,,
30/7/2022,25,Others,PDL,,,,,,
31/7/2022,40,Transport,Top up ez link,,,,,,
3/8/2022,3,Gifts,,,,,,,
3/8/2022,5.5,Food and Beverages,Peanut butter waffle and mango passionfruit,,,,,,
4/8/2022,3,Food and Beverages,Milo,,,,,,
4/8/2022,22.5,Food and Beverages,Mala,,,,,,
4/8/2022,3,Food and Beverages,Jumbo milo,,,,,,
5/8/2022,1000.9,Education,Driving,,,,,,
5/8/2022,4.3,Food and Beverages,Cai Fan,,,,,,
5/8/2022,16.1,Transport,grab from SGC to MHC,,,,,,
5/8/2022,20.1,Transport,Grab from MHC to home,,,,,,
6/8/2022,14.6,Others,Saf items,,,,,,
6/8/2022,12.78,Health,Bandage,,,,,,
7/8/2022,9,Others,Hair cut,,,,,,
8/8/2022,30,Food and Beverages,Hotpot,,,,,,
11/8/2022,12,Food and Beverages,Chicken,,,,,,
12/8/2022,10.2,Entertainment,Chalet 5,,,,,,
12/8/2022,10,Others,Chalet,,,,,,
12/8/2022,8.9,Food and Beverages,Saizeyra,,,,,,
14/8/2022,8.5,Food and Beverages,Lunch greendot,,,,,,
14/8/2022,500,Education,Cdc,,,,,,
17/8/2022,16.1,Food and Beverages,Ba kut teh and ice cream,,,,,,
17/8/2022,4,Food and Beverages,Waffle,,,,,,
19/8/2022,6,Food and Beverages,Yong tau foo,,,,,,
20/8/2022,10.18,Entertainment,spotify,,,,,,
20/8/2022,9.4,Transport,e z link,,,,,,
26/8/2022,5.04,Transport,e z link,,,,,,
27/8/2022,37.08,Food and Beverages,Ramen,,,,,,
27/8/2022,13.51,Others,Adobe,,,,,,
28/8/2022,9,Others,hair cut,,,,,,
30/8/2022,10.5,Food and Beverages,Mcdonald,,,,,,
30/8/2022,14.1,Transport,MHC to SGC (to claim),,,,,,
31/8/2022,17.3,Food and Beverages,Wingstop,,,,,,
31/8/2022,17.17,Food and Beverages,wingstop group order,,,,,,
1/9/2022,3.3,Food and Beverages,mango passionfruit,,,,,,
2/9/2022,17,Food and Beverages,4fingers group order,,,,,,
3/9/2022,5.4,Food and Beverages,Milk tea,,,,,,
4/9/2022,13.31,Transport,bus/mrt fare,,,,,,
6/9/2022,1.4,Food and Beverages,Ice strawberry tea,,,,,,
9/9/2022,2.3,Food and Beverages,oreo crush,,,,,,
9/9/2022,10.5,Food and Beverages,fatty bom bom,,,,,,
10/9/2022,20.1,Transport,grab home,,,,,,
11/9/2022,9,Others,haircut,,,,,,
12/9/2022,15,Food and Beverages,Wingstop,,,,,,
13/9/2022,8.97,Transport,bus/mrt fare,,,,,,
14/9/2022,11.8,Food and Beverages,Maruhachi,,,,,,
14/9/2022,1.7,Food and Beverages,Lime juice,,,,,,
15/9/2022,10.8,Food and Beverages,Mcdonald,,,,,,
16/9/2022,12.85,Food and Beverages,Saute sushi,,,,,,
18/9/2022,12,Others,haircut,,,,,,
18/9/2022,13.51,Others,adobe,,,,,,
20/9/2022,10.18,Entertainment,spotify,,,,,,
21/9/2022,9.36,Transport,bus/mrt fare,,,,,,
22/9/2022,4.6,Food and Beverages,Seaweed fries,,,,,,
23/9/2022,8.61,Food and Beverages,zi char,,,,,,
23/9/2022,20.4,Transport,comfort taxi from MHC to home,,,,,,
24/9/2022,2,Food and Beverages,100plus,,,,,,
24/9/2022,3,Food and Beverages,Tang yuan,,,,,,
27/9/2022,2.3,Food and Beverages,Oreo crush,,,,,,
28/9/2022,15.45,Food and Beverages,Wingstop,,,,,,
28/9/2022,6,Food and Beverages,Chi cha,,,,,,
30/9/2022,22.75,Food and Beverages,song fa,,,,,,
30/9/2022,1.9,Food and Beverages,liho bubble tea,,,,,,
1/10/2022,2.3,Food and Beverages,Oreo crush,,,,,,
4/10/2022,5,Food and Beverages,Porridge,,,,,,
4/10/2022,15.24,Transport,BUS/MRT,,,,,,
7/10/2022,1.5,Food and Beverages,Soya milk,,,,,,
7/10/2022,3.6,Others,Laces,,,,,,
9/10/2022,13.82,Transport,BUS/MRT,,,,,,
11/10/2022,3.3,Food and Beverages,Mango passiomfruit,,,,,,
11/10/2022,4.8,Food and Beverages,Prata,,,,,,
12/10/2022,12.3,Entertainment,Bowling,,,,,,
12/10/2022,5.5,Food and Beverages,Milk tea with sakura,,,,,,
12/10/2022,12.4,Food and Beverages,Burgs,,,,,,
14/10/2022,1.5,Food and Beverages,Sugar cane,,,,,,
14/10/2022,3.4,Food and Beverages,Nasi lemak,,,,,,
14/10/2022,5.4,Food and Beverages,Coconut milk,,,,,,
15/10/2022,11.89,Transport,BUS/MRT,#
##